Blu G8
QMobile i8i 2019
Huawei TIT-L01
Blu G6
Blu G5
Lenovo A2107A-H
Realme RMX1919
Positivo Stilo T730 Kids
Symphony V110
Teclast P10_HD_ROW
Archos 101 Oxygen
Cobalt_SM_5
Cobalt_SM_6
Symphony V105
Symphony V102
Symphony V100
Redmi M2006C3LC
Redmi M2006C3LI
Realme RMX1926
Realme RMX1925
Redmi M2006C3LG
ZTE NX40X_APT
Realme RMX1922
Asus ZS670KS
Realme RMX1921
Tesla_L8_2
Acer AA3-600
ZTE-C N600+
Realme RMX1927
MAZE SSB-508E
Huawei eH811
TCT PandA_m14
ESI Enterprises M7
Samsung SM-T517P
Ubiquiti UVP
Redmi M2006C3MG
Realme RMX1931
Archos 101d Neon
Sony E5303
Samsung SCH-I500
Wiko CINK SLIM 2
Symphony V130
Symphony V128
LGE LGL48VL
Samsung SCH-I509
KAZAM Trooper 540
Symphony V125
Logicom LOGIKIDS_5
Zpad ZKIDS
Realme RMX1946
Kennex MD7053G
Bmobility Belle
Sony E5306
Blaupunkt SL 04
Sourcing Creation WebPad_1003
TOPELOTEK KIDS06
Blaupunkt SL 02
Samsung SCH-I510
TOPELOTEK KIDS09
Blaupunkt SL 01
Mpgio LEGEND_R
TOPELOTEK KIDS08
LGE LM-X510(FG)
Symphony V120
FELUX LUXE 3
Samsung SCH-I519
HUAWEI T8300
Samsung SGH-M919
Benten T8
KAZAM Trooper 555
HTC One S Special Edition
KAZAM Trooper 551
Coolpad ivvi i1-01
MiiA TA10CA1
Blu C5
Blu C4
Hyve Pryme 01
Blu C2
Blu C1
Vulcan VS5513
KOOOK C600
DGTEC DG7TBIPSDG
Archos A80RG11
MobiiStar X1 Dual
TCT TCL_A510
Motorola moto e6 play
Ubiquiti USS
Blu C7
Blu C6
Klipad KL3838
Samsung SM-A260G
COPAN Aplus
Samsung SM-A260F
Oppo R2001
Prestigio PMT3111_Wi
TAGITAL T7K_PLUS
Archos T 101X 4G
ZTE Soshphone 4G
Samsung SCH-I535
Realme RMX1971
Realme RMX1973
Archos 45 Titanium
Huawei PE-CL00
DGTEC DG7TBIPSBT
ZTE N9810
ENACOM M765P
Cavion base10_3g_silver
Natcom X1LTE
Panasonic Elite v3a with camera
Samsung SCH-I545
Prestigio PSP7590DUO_EU
ZTE NX551J
Motorola XT910S
Stylo S50_BOLD
Motorola XT910K
iBall Blaze_V4
Starlight Star-Plus7
Viwa LIGHT PLUS
Oppo R2010
Lava LE9920_P
Samsung SCH-I559
Realme RMX1993
Oppo R2017
Realme RMX1992
HTC ADR6400L
Doro Liberto 820 Mini
Realme RMX1991
AG Mobile Boost
ZTE N9835
Samsung SM-A305YN
ZTE Z6250CC
Quantum You
Blu ENERGY_DIAMOND_MINI
Samsung GT-I5510
Helio S25
ZTE 8010RU
HP BRIDGE
Klipad KL3889
Venturer CT9A03W23
DGTEC DG7TBIPSPA
CellAllure Earn2 CL
Asus Nexus 7
HURRICANE_GIGA
Hyundai Seoul X
HTC Velocity 4G X710s
Huawei MON-AL19B
Samsung GT-I5500
Infinix X660
Archos 101 Neon
BMXC BM108
Huawei JDN-L01
TECHNOLOGIA Y CRATIVIDAD M103H
Huawei DRA-AL00
Samsung GT-I5508
Maxwest Gravity_5_GO
Hyundai Seoul 9
Samsung GT-I5503
ULTRAMINTT A5
Infinix X692
Asus P01T_1
BMobile AX1073PLUSMV18
Infinix X690
Ipro KYLIN40
Samsung SM-G350E
TECNO L9 Plus
Infocus Amazing A8
Kyocera S4-KC
Polaroid L9
Samsung SM-G350L
Samsung SM-G350M
Samsung SM-G3508
Samsung SM-G3509
DEXP S570
Wiko X-tremer
Infinix X680
Oukitel C17 Pro
Infinix X683
AllView P7_PRO
Infinix X687
Goldmaster BENGAL_6
MINT Pandora
Allfine PC1038Q
Cipherlab RS51_HS
Samsung SM-G3518
Blackview A8 MAX
Huawei DUA-LX3
Premio X83
Premio X82
Premio X81
Premio X80
HYUNDAI_MAESTRO HDT-9433X
ZTE NX549J
LGE LM-V520N
Premio X84
Huawei CLT-AL00
Prixton Expert
AllView VivaH7LTE
Huawei CLT-AL01
AG Mobile AG Go-Tab Access
Trekstor SurfTab ST70204-3
Haier CT825
LGE LM-Q630N
Haier TAB-700
Xiaomi Umi
Positivo BGH Y700
Huawei PAR-L29
Samsung SM-G357M
HTC Bee
Huawei MediaPad X1
Huawei PAR-L21
Chameleon E9XG-A05-M
Storex eZeeTab10D12-S
Inco Colossus_4
Motorola moto e (XT2052DL)
UZTE GRAND V7
Lenovo Braswell Chrome OS Device
Fluo S554020
HuaweiU8800Pro
Samsung SM-G3558
Hyundai Ultra_Vision_Plus
Infinix S2 Pro
Figi Mtwo
Electroland Ghana NASCO_Allure
beafon Class_C250
Mobicell PULSE_1
Samsung SM-G355M
Kalley Element 4
Vertex Smart_S_100_4G
Helio S10
Micromax P701
ZTE Z899VL
Aqua S1 Jazz
Samsung SM-G3559
Samsung SM-G355H
Ulefone S10_Pro
Itworks NID_7010
Lenovo TAB 2 A10-70LC
Positivo Mini TE
ZTE BLADE A520C
Stylo_521
ZTE Orange Zali
AZPEN A1046G
HUAWEI Y518-T00
TCT 4034L_EEA
AG Mobile AGM A10
Allducube T1001
LGE LGM-X800L
LGE LGM-X800K
EPIKONE K406
Prestigio PSP7501DUO
EPIKONE K405
ZTE Dubai
Freetel FTJ17B00
EPIKONE K400
BQru BQ-5745L
Polaroid V7
Rockcel Quartzo UP
brown 2
EVIANT_EVT10Q
Tiwell AS_501
Lenovo P780_ROW
Huawei GT01
Hisense LED47K610J3DP
ColorsMobile Colors S11
Ascom Myco 3 Cellular Wi-Fi
Infinix X612
Leader Phone LP_B-50
Lanix ILIUM L950
Huawei COL-TL10
Lenovo A269i
Sharp SH-Z10
IUNI N1
Mediacom M-SP8MXA
Infinix X605
Nokia C5 Endi
Quickline M387_QL
Infinix X606
Infinix X603
Infinix X604
Pantech IM-A775C
Infinix X609
LGE LG-F200K
Infinix X608
Quantum QMobile I9i
LGE LG-F200L
LGE LG-F200S
Hurricane_Bolt
Turbonet TN451A1
Sharp SH-Z20
Condor PHQ526
